Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049703;1;1;1;h81AF;hFF;1;1;1;1
-0,00049702;0;1;1;h81AF;hFF;1;1;1;0
-0,00049701;0;1;1;h81AF;hFF;1;1;1;0
-0,000497;0;1;1;h81AF;hFF;1;1;1;0
-0,00049699;0;1;1;h81AF;h75;1;1;1;0
-0,0004969799999999999;0;1;0;h81AF;h75;1;1;1;0
-0,00049697;1;1;0;h81AF;h75;1;1;1;0
-0,00049696;1;1;0;h81AF;h75;1;1;1;0
-0,00049695;1;1;0;h81AF;h75;1;1;1;0
-0,00049694;0;1;0;h81AF;h75;1;1;1;0
-0,00049693;0;1;0;h81AF;h75;1;1;1;0
-0,00049692;0;1;0;h81AF;h75;1;1;1;0
-0,00049691;0;1;0;h81AF;h75;1;1;1;0
-0,0004969;1;0;0;h81AF;h75;1;1;1;0
-0,00049689;1;0;0;h81AF;h75;1;1;0;0
-0,00049688;1;0;0;h81AF;h75;1;1;0;0
-0,00049687;1;0;0;h81AF;h75;1;1;0;0
-0,00049686;0;0;0;h81AF;h75;1;1;0;0
-0,00049685;0;0;0;h81AF;h75;1;1;0;0
-0,00049684;0;0;0;h81AF;h75;1;1;0;0
-0,00049683;0;0;0;h81AF;h75;1;1;0;0
-0,00049682;1;0;1;h81AF;h75;1;1;0;0
-0,00049681;1;0;1;h81AF;h75;1;1;0;0
-0,0004968;1;0;1;h81AF;h75;1;1;0;0
-0,00049679;1;0;1;h81AF;h75;1;1;0;0
-0,0004967800000000001;0;0;1;h81AF;h75;1;1;0;0
-0,00049677;0;0;1;h81AF;h75;1;1;0;0
-0,00049676;0;0;1;h81AF;h75;1;1;0;0
-0,00049675;0;0;1;h81AF;h75;1;1;0;0
-0,00049674;1;1;1;h81AF;h75;1;1;0;0
-0,00049673;1;1;1;h81AF;h75;1;1;0;0
-0,00049672;1;1;1;h81AF;h75;1;1;0;0
-0,00049671;1;1;1;h81AF;h75;1;1;0;0
-0,0004967;0;1;1;h81AF;h75;1;1;0;1
-0,00049669;0;1;1;h81AF;h75;1;1;1;1
-0,00049668;0;1;1;h81AF;h75;1;1;1;1
-0,0004966700000000001;0;1;1;h81A0;hFF;1;1;1;1
-0,00049666;1;1;0;h81B0;hFF;1;1;1;1
-0,00049665;1;1;0;h81B0;hFF;1;1;1;1
-0,00049664;1;1;0;h81B0;hFF;1;1;1;1
-0,00049663;1;1;0;h81B0;hFF;1;1;1;1
-0,00049662;0;1;0;h81B0;hFF;1;1;1;0
-0,00049661;0;1;0;h81B0;hFF;1;1;1;0
-0,0004966;0;1;0;h81B0;hFF;1;1;1;0
-0,00049659;0;1;0;h81B0;hF8;1;1;1;0
