Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00049737;0;0;1;1;h81B0;hFF;1;1;1;1
-0,00049736;1;0;1;1;h81B0;hFF;1;1;1;1
-0,00049735;1;0;1;1;h81B0;hFF;1;1;1;1
-0,00049734;1;0;1;1;h81B0;hFF;1;1;1;1
-0,00049733;1;0;1;1;h81B0;hFF;1;1;1;1
-0,00049732;0;0;1;1;h81B0;hFF;1;1;1;1
-0,00049731;0;0;1;1;h81B0;hFF;1;1;1;1
-0,0004973;0;0;1;1;h81B0;hFF;1;1;1;1
-0,0004972899999999999;0;0;1;1;h81B0;hFF;1;1;1;1
-0,00049728;1;1;1;1;h81B0;hFF;1;1;1;1
-0,00049727;1;1;1;1;h81B0;hFF;1;1;1;1
-0,00049726;1;1;1;1;h81B0;hFF;1;1;1;1
-0,00049725;1;1;1;1;h81B0;hFF;1;1;1;1
-0,00049724;0;1;1;1;h81B0;hFF;1;1;1;1
-0,00049723;0;1;1;1;h81B0;hFF;1;1;1;1
-0,00049722;0;1;1;1;h81B0;hFF;1;1;1;1
-0,00049721;0;1;1;1;h81A0;hFF;1;1;1;1
-0,0004972000000000001;0;1;0;1;h81A9;hFF;1;1;1;1
-0,00049719;1;1;0;1;h81A9;hFF;1;1;1;1
-0,00049718;1;1;0;1;h81A9;hFF;1;1;1;1
-0,00049717;1;1;0;1;h81A9;hFF;1;1;1;1
-0,00049716;0;1;0;1;h81A9;hFF;0;1;1;1
-0,00049715;0;1;0;1;h81A9;hFF;0;1;1;1
-0,00049714;0;1;0;1;h81A9;hFF;0;1;1;1
-0,00049713;0;1;0;1;h81A9;h47;0;1;1;1
-0,00049712;0;0;0;1;h81A9;h43;0;1;1;1
-0,00049711;1;0;0;1;h81A9;h43;0;1;1;1
-0,0004971;1;0;0;1;h81A9;h43;0;1;1;1
-0,0004970900000000001;1;0;0;1;h81A9;h43;0;1;1;1
-0,00049708;1;0;0;1;h81A9;h43;0;1;1;1
-0,00049707;0;0;0;1;h81A9;h43;0;1;1;1
-0,00049706;0;0;0;1;h81A9;h43;0;1;1;1
-0,00049705;0;0;0;1;h81A9;h43;0;1;1;1
-0,00049704;0;0;0;1;h81A9;h43;0;1;1;1
-0,00049703;1;0;1;1;h81A9;h43;0;1;1;1
-0,00049702;1;0;1;1;h81A9;h43;0;0;1;1
-0,00049701;1;0;1;1;h81A9;h43;0;0;1;1
-0,000497;1;0;1;1;h81A9;h43;0;0;1;1
-0,00049699;0;0;1;1;h81A9;h43;0;0;1;1
-0,0004969799999999999;0;0;1;1;h81A9;h43;0;0;1;1
-0,00049697;0;0;1;1;h81A9;h43;0;0;1;1
-0,00049696;0;0;1;1;h81A9;h43;0;0;1;1
-0,00049695;0;1;1;1;h81A9;h43;0;0;1;1
-0,00049694;1;1;1;1;h81A9;h43;0;0;1;1
-0,00049693;1;1;1;1;h81A9;h43;0;0;1;1
-0,00049692;1;1;1;1;h81A9;h43;0;0;1;1
-0,00049691;1;1;1;1;h81A9;h43;0;0;1;1
-0,0004969;0;1;1;1;h81A9;h43;0;0;1;1
-0,00049689;0;1;1;1;h81A9;h43;0;0;1;1
